Date,24h Average,Ask,Bid,Last,Total Volume
2/6/2016,377.89,376.56,376.44,377.07,81679.88
2/5/2016,388.85,387.93,387.63,387.8,62314.77
2/4/2016,380.05,390.51,390.26,390.34,109604.17
2/3/2016,374.26,370.9,370.67,370.85,63504.75
2/2/2016,376.37,376.04,375.8,376.09,52990.22
2/1/2016,373.83,373.47,373.07,373.24,77215.33
1/31/2016,380.28,369.09,368.84,369.02,46703.56
1/30/2016,380.11,379.38,379.04,379.43,37735.91
1/29/2016,376.98,379.18,378.91,378.93,144072.45
1/28/2016,385.76,381.18,380.84,381.34,79021.72
1/27/2016,396.67,397.66,397.47,397.55,44026.22
1/26/2016,395.14,393.8,393.54,393.74,58848.08
1/25/2016,397.18,393.02,392.75,392.93,70365.67
1/24/2016,397.9,403.47,403.04,403.37,65762.55
1/23/2016,389.74,388.25,387.74,388.14,63903.34
1/22/2016,394.98,382.98,382.65,383,149524.78
1/21/2016,415.04,411.74,411.53,411.85,89153.98
1/20/2016,394.47,419.72,419.03,419.67,198153.39
1/19/2016,384.69,380.55,380.26,380.58,65689.5
1/18/2016,383.9,387.58,387.2,387.4,67153.47
1/17/2016,385.45,381.83,381.27,381.66,66584.63
1/16/2016,372.05,387.93,387.72,387.95,192671.11
1/15/2016,402.74,361.16,360.74,361.11,288537.16
1/14/2016,431.89,430.2,429.86,430.21,44252.33
1/13/2016,430.77,433.21,433.01,433.17,106557.43
1/12/2016,448.57,447.87,447.46,447.63,46786.88
1/11/2016,448.58,449.66,449.38,449.65,56297.95
1/10/2016,446.91,448.51,448.29,448.47,44894.46
1/9/2016,452.07,452.1,451.67,452.07,39057.78
1/8/2016,456.09,455.28,454.91,455.13,90314.5
1/7/2016,448.33,456.78,456.6,456.82,130435.34
1/6/2016,432.11,433.15,433.04,433.21,44333.26
1/5/2016,433.72,434.05,433.87,434.18,47237.28
1/4/2016,432.02,434.81,434.53,434.64,50806.58
1/3/2016,431.13,430.15,429.69,429.54,54095.4
1/2/2016,434.35,435.61,434.77,435.3,34694.35
1/1/2016,433.21,434.84,434.28,434.65,47106.39
12/31/2015,426.52,431.33,431.13,431.4,66915.8
12/30/2015,430.09,428.03,427.65,428,71380.42
12/29/2015,425.99,430.66,430.29,430.56,72047.25
12/28/2015,425.03,422.41,421.96,422.24,77031.82
12/27/2015,418.46,424.66,424.27,424.47,76363.56
12/26/2015,431.61,415.55,415,415.43,211478.47
12/25/2015,455.25,456.4,455.87,456.13,43465.03
12/24/2015,454.43,453.78,453.64,453.76,78876.65
12/23/2015,441.44,443.68,443.33,443.79,64093.9
12/22/2015,439.89,437.34,436.98,437.32,69593.35
12/21/2015,437.71,436.11,435.73,435.98,119521.2
12/20/2015,455.27,443.17,442.9,442.87,119008.97
12/19/2015,464,462.35,461.91,462.27,63401.04
12/18/2015,460.73,464.48,463.91,464.2,82317.55
12/17/2015,455.55,457.02,456.66,456.63,67726.34
12/16/2015,457.64,454.22,453.99,454.03,186908.79
12/15/2015,456.75,463.87,463.47,463.69,121020.71
12/14/2015,441.46,443.46,443.25,443.38,246514
12/13/2015,436.49,436.06,435.67,435.9,90007.78
12/12/2015,433.3,433.63,433.45,433.56,247017.35
12/11/2015,432.19,449.26,449.09,449.19,176205.29
12/10/2015,416.74,417.06,416.66,416.8,75158.13
12/9/2015,418.08,417.66,417.42,417.65,160383.94
12/8/2015,397.01,397.99,397.88,398.01,57932.28
12/7/2015,394.44,396.76,396.54,396.66,102519.55
12/6/2015,394.26,395.58,395.21,395.53,147247.78
12/5/2015,374.84,390.94,390.83,390.99,106868.51
12/4/2015,361.51,363.45,363.21,363.5,60262.34
12/3/2015,363.13,362.01,361.76,361.96,88810.64
12/2/2015,356.78,360.84,360.48,360.77,97504.92
12/1/2015,368.9,364.34,364.09,364.2,119992.39
11/30/2015,376.76,378.93,378.52,378.64,137466.11
11/29/2015,362.06,373.71,373.51,373.67,64868.59
11/28/2015,356.55,356.1,355.88,356.06,60678.44
11/27/2015,355.91,360.81,360.51,360.6,112829.07
11/26/2015,342.51,350.97,350.73,350.88,213702.58
11/25/2015,324.1,327.73,327.55,327.66,77479.39
11/24/2015,323.4,322.85,322.57,322.86,50632.91
11/23/2015,324.03,325.08,324.77,325.05,42018.91
11/22/2015,326.15,326.19,325.92,326.07,34520.8
11/21/2015,325.84,326.39,326.03,326.35,43575.19
11/20/2015,321.03,321.48,321.28,321.43,111710.95
11/19/2015,333.01,327.9,327.66,327.81,84955.2
11/18/2015,335.41,337.74,337.2,337.58,75796.73
11/17/2015,335.68,338.26,338.14,338.43,97693.91
11/16/2015,322.37,330.45,330.18,330.36,88806.55
11/15/2015,329.85,320.33,319.53,320.2,105658.42
11/14/2015,335.32,339.89,338.87,339.2,71522.2
11/13/2015,334.66,340.65,340.07,340.19,107328.71
11/12/2015,326.91,333.69,333.14,333.84,171616.82
11/11/2015,317.9,308.04,307.62,307.82,290096.78
11/10/2015,368.56,333.59,333.09,333.31,212299.48
11/9/2015,375.3,382.45,382.07,382.32,130610.11
11/8/2015,383.98,374.37,374.17,374.33,90243.26
11/7/2015,383.57,388.12,387.89,388.04,107926.25
11/6/2015,373.24,374.85,373.99,374.15,281158.05
11/5/2015,401.39,390.98,390.04,390.85,360109.42
11/4/2015,446.72,394.08,391.57,393.34,537468.37
11/3/2015,381.53,401.23,400.89,400.82,449677.57
11/2/2015,334.38,361.91,361.6,361.72,210271.42
11/1/2015,317.89,325.38,325.18,325.32,80664.78
10/31/2015,324.35,312.62,312.14,312.4,115396.61
10/30/2015,324.31,323.98,323.73,323.84,170402.67
10/29/2015,309.61,315.68,315.24,315.59,145485.12
10/28/2015,301.53,303.31,303.11,303.26,124391.95
10/27/2015,292.98,298.06,297.83,298.13,110659.24
10/26/2015,285.18,287.21,286.98,286.95,82890.74
10/25/2015,289.88,287.22,286.78,287.02,118323.12
10/24/2015,281.5,281.41,281.13,281.42,53762.28
10/23/2015,277.91,278.11,277.84,277.87,75454.96
10/22/2015,273.32,275.55,275.31,275.35,92648.02
10/21/2015,270.14,269.81,269.65,269.68,64743.56
10/20/2015,268.85,270.22,270.07,270.11,76374.96
10/19/2015,264.8,265.34,264.97,265.12,60648.15
10/18/2015,268.58,264.39,264.13,264.26,61187.92
10/17/2015,269.46,270.87,270.63,270.78,118926.37
10/16/2015,261.03,262.71,262.46,262.76,98238.18
10/15/2015,256.09,256.54,256.19,256.46,64821.71
10/14/2015,252.93,255.18,254.93,255.11,72687.69
10/13/2015,248.96,250.62,250.43,250.59,80499.09
10/12/2015,248.15,247.38,247.18,247.22,48544.98
10/11/2015,248.76,249.74,249.53,249.82,35201.24
10/10/2015,246.81,247.43,247.12,247.35,41515.32
10/9/2015,245.76,246.61,246.34,246.4,42768.22
10/8/2015,245.46,245.23,244.91,245.03,50517.95
10/7/2015,246.87,245.16,245,245.09,64849.71
10/6/2015,244.46,246.97,246.72,246.92,88568.77
10/5/2015,239.99,241.51,241.42,241.43,66838.09
10/4/2015,240.98,239.99,239.61,239.89,35944.34
10/3/2015,239.92,241.4,241.21,241.37,48954.29
10/2/2015,239.14,238.83,238.67,238.64,54375.63
10/1/2015,238.51,239.18,238.87,238.93,60410.98
9/30/2015,238.41,238.12,237.82,238.04,55808.63
9/29/2015,239.73,238.6,238.37,238.57,69354.82
9/28/2015,237.64,240.22,240.06,240.16,67469.36
9/27/2015,235.25,234.34,233.83,234.18,38619.96
9/26/2015,236.03,236.54,236.26,236.48,40861.23
9/25/2015,236.36,235.84,235.65,235.82,64468.5
9/24/2015,233.63,234.93,234.84,234.91,72301.06
9/23/2015,232.03,231.61,231.27,231.51,50569.44
9/22/2015,230.16,230.93,230.8,230.86,83566.49
9/21/2015,229.38,228.91,228.64,228.65,57512.41
9/20/2015,233.09,231.8,231.64,231.68,40775.21
9/19/2015,233.97,233.3,233.21,233.31,39321.42
9/18/2015,234.65,234.92,234.6,234.89,57623.59
9/17/2015,231.82,234.41,234.31,234.37,61813.24
9/16/2015,230.64,229.81,229.58,229.67,60120.16
9/15/2015,231.89,230.96,230.8,230.79,60113.95
9/14/2015,230.79,232.56,232.45,232.47,66718.67
9/13/2015,234.46,230.28,230.17,230.29,54054.53
9/12/2015,240.7,237.43,237.32,237.63,52731.58
9/11/2015,241.55,242,241.8,242.03,47247.29
9/10/2015,239.98,240.39,240.16,240.43,63412.7
9/9/2015,242.45,239.8,239.66,239.8,69555.79
9/8/2015,243.76,244.66,244.53,244.63,77673.15
9/7/2015,241.06,241.63,241.5,241.53,56561.99
9/6/2015,240.44,241.81,241.65,241.68,73261.29
9/5/2015,233.57,236.6,236.41,236.73,56149.81
9/4/2015,231.24,232.13,232,232.22,64146.64
9/2/2015,229,230.91,230.81,230.87,60814.64
9/1/2015,230.32,226.98,226.87,227.02,63356.81
8/31/2015,229.95,231.71,231.56,231.74,56483.31
8/30/2015,230.31,228.48,228.32,228.41,50190.82
8/29/2015,231.82,230.06,229.83,230.26,46281.32
8/28/2015,228.39,234.06,233.75,233.91,93688.37
8/27/2015,227.05,227.87,227.74,227.85,60923.3
8/26/2015,225.87,226.77,226.62,226.81,98979.44
8/25/2015,214.3,222.25,221.98,222.1,209016.22
8/24/2015,221.77,210.37,210.18,210.56,193238.31
8/23/2015,230.29,228,227.84,227.89,56524.73
8/22/2015,231.7,231.01,230.74,230.96,75652.63
8/21/2015,235.11,233.6,233.47,233.62,61959.38
8/20/2015,232.79,236.85,236.69,236.78,97471.02
8/19/2015,233.92,224.57,224.16,224.46,259604.15
8/18/2015,256.83,253.21,253,253.23,86992.53
8/17/2015,258.9,258.82,258.75,258.88,52690.7
8/16/2015,260.44,259.55,259.22,259.43,73108.94
8/15/2015,267.24,264.41,264.09,264.38,34578.44
8/14/2015,266.2,268.2,268.12,268.31,52856.08
8/13/2015,266.37,265.91,265.68,265.83,58932.84
8/12/2015,269.27,270.07,269.81,270.02,62868.71
8/11/2015,267.19,270.35,270.03,270.35,50908.15
8/10/2015,265.75,265.6,265.4,265.58,48723.03
8/9/2015,264.05,265.93,265.5,265.78,67562.76
8/8/2015,276.02,266.73,266.54,266.73,69720
8/7/2015,280.43,280.53,280.32,280.57,47890.84
8/6/2015,281.92,280.48,280.19,280.44,41529.91
8/5/2015,284.89,284.34,284.17,284.28,40800.93
8/4/2015,285.37,286.78,286.63,286.84,46789.49
8/3/2015,283.85,284.54,284.31,284.6,45539.11
8/2/2015,281.47,283.6,282.95,283.05,36387.87
8/1/2015,283.04,281.83,281.07,281.27,43721.2
7/31/2015,286.77,285.86,285.54,285.67,51981.22
7/30/2015,289.68,288.44,288.06,288.34,45777.87
7/29/2015,292.8,291.81,291.75,291.8,52825.48
7/28/2015,295.69,295.9,295.44,295.48,56658.53
7/27/2015,292.13,296.6,296.28,296.44,69358.52
7/26/2015,291.48,293.82,293.28,293.41,32283.37
7/25/2015,289.27,288.84,288.68,288.87,44978.61
7/24/2015,282.91,289.17,288.81,289.04,83464.01
7/23/2015,278.45,277.87,277.59,277.7,38821.29
7/22/2015,277.56,277.08,276.88,277,50988.03
7/21/2015,280.07,279.65,279.5,279.62,49526.47
7/20/2015,276.9,278.43,278.12,278.24,53638.66
7/19/2015,275.33,275.09,274.71,274.86,31752.04
7/18/2015,278.25,274.82,274.45,274.59,68091.11
7/17/2015,277.83,278.88,278.59,279.31,74636.06
7/16/2015,283.87,280.49,280.23,280.27,133319.5
7/15/2015,291.62,291.67,291.11,291.73,55545.27
7/14/2015,291.48,290.35,290.02,290.24,66154.49
7/13/2015,295.66,292.84,292.54,292.88,153309.15
7/12/2015,303.43,307.98,307.8,307.93,121416.85
7/11/2015,290.93,293.99,293.75,293.89,95898.62
7/10/2015,280.06,286.15,285.69,286.05,211063.76
7/9/2015,270.72,271.65,271.35,271.61,77644.38
7/8/2015,269.56,268,267.64,267.85,86504.04
7/7/2015,268.94,267.24,266.89,267.22,74161.98
7/6/2015,272.09,274.76,274.43,274.63,127494.26
7/5/2015,264.07,271.03,270.82,270.82,118301.04
7/4/2015,258.83,263.23,263.08,263.07,41655.63
7/3/2015,256.84,257.57,257.3,257.44,49662.09
7/2/2015,258.66,256.98,256.84,256.99,55719.36
7/1/2015,261.14,260.63,260.38,260.67,76161.03
